,wikidata,country,bathwateridentifier,status,eionet,euType,euMotive,NotEuMotive,link,WD
1949,Q107122655,sk,SKREK008,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK008,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK008'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122655'>link WD</a>
1950,Q107122662,sk,SKREK020,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK020,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK020'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122662'>link WD</a>
1951,Q107122678,at,AT1110002000120010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT1110002000120010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT1110002000120010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122678'>link WD</a>
1952,Q107122699,at,AT1120000200060010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT1120000200060010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT1120000200060010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122699'>link WD</a>
1953,Q107122706,at,AT1120004400010010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT1120004400010010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT1120004400010010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122706'>link WD</a>
1954,Q107122715,at,AT1250000400110010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT1250000400110010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT1250000400110010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122715'>link WD</a>
1955,Q107122721,at,AT2110000700040010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT2110000700040010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT2110000700040010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122721'>link WD</a>
1956,Q107122734,at,AT3420003800020010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT3420003800020010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT3420003800020010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122734'>link WD</a>
1957,Q107122752,at,AT3350003400245010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT3350003400245010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.AT3350003400245010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122752'>link WD</a>
1958,Q107122777,ro,RO2230009000010001,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.RO2230009000010001,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.RO2230009000010001'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122777'>link WD</a>
